Sr. No.,Y,X1,X2 ,X3,X4,X5,X6,X7,X8
1,1,1,1,1,1,1,1,1,0
2,0,0,1,0,0,1,1,0,0
3,1,1,1,1,0,1,1,1,1
4,0,1,1,0,1,0,0,0,0
5,1,1,1,1,1,0,1,1,1
6,1,0,1,1,1,0,1,1,0
7,1,0,1,1,0,0,1,1,1
8,1,1,1,1,1,0,1,1,0
9,1,0,1,1,0,0,1,1,1
10,1,1,1,1,1,1,1,1,1
11,0,1,1,1,0,0,1,0,1
12,0,1,1,1,1,0,1,1,0
13,1,1,1,1,1,0,1,1,1
14,1,0,1,1,1,0,1,1,1
15,1,1,1,1,0,0,1,1,1
16,1,0,1,1,1,1,1,1,1
17,1,1,0,1,1,0,1,1,1
18,1,0,1,1,1,0,1,1,0
19,1,1,1,1,0,0,1,1,1
20,1,1,1,1,1,0,1,1,1
21,0,0,1,1,0,0,0,1,1
22,0,1,1,0,0,0,1,1,1
23,1,0,1,1,0,0,1,1,1
24,1,0,1,1,1,0,1,1,1
25,1,0,1,1,0,0,1,1,1
26,0,1,1,1,0,0,0,1,0
27,0,1,0,1,0,0,1,0,0
28,0,0,1,1,0,0,1,1,1
29,0,1,1,1,0,0,1,1,1
30,1,1,1,1,1,0,1,1,1
31,0,0,1,0,0,0,1,1,1
32,1,1,1,1,1,0,1,1,1
33,0,1,1,0,0,1,1,1,0
34,1,1,1,1,0,0,1,1,0
35,0,0,1,1,0,0,1,1,0
36,1,1,1,1,1,0,1,1,1
37,1,0,1,1,1,0,0,1,1
38,1,1,1,0,1,1,1,1,1
39,0,0,1,1,0,0,0,1,0
40,0,0,1,1,0,0,1,1,1
41,1,1,1,0,1,1,1,1,1
42,1,1,1,1,1,1,1,1,0
43,1,1,1,1,0,0,1,1,1
44,1,0,0,1,1,0,1,1,1
45,0,0,1,0,0,0,1,1,1
46,0,1,1,1,0,0,0,1,0
47,1,1,1,0,1,1,1,1,0
48,1,1,1,1,0,0,1,1,1
49,0,1,1,1,1,0,0,1,1
50,1,1,0,1,1,1,1,1,1
51,1,1,1,1,0,0,1,1,1
52,0,0,1,0,1,0,1,0,0
53,0,1,1,1,0,0,1,0,1
54,0,1,1,1,0,0,1,0,1
55,0,1,1,1,0,0,0,1,1
56,1,0,1,1,1,1,1,1,1
57,0,1,1,0,0,0,1,1,1
58,0,1,1,0,0,0,1,1,0
59,0,1,1,0,1,0,0,1,0
60,0,1,1,1,0,0,1,0,1
61,0,0,0,0,0,0,0,0,0
62,0,1,1,0,0,0,0,1,1
63,1,1,1,1,1,0,1,1,1
64,0,0,1,1,0,0,1,1,1
65,0,0,1,1,1,1,1,1,0
66,1,0,1,1,1,0,1,1,0
67,0,0,1,0,0,0,0,1,0
68,0,0,1,0,0,0,1,1,1
69,0,0,1,0,0,0,0,1,0
70,0,1,1,1,1,0,0,0,0
71,1,1,1,1,0,0,1,1,1
72,0,1,1,1,0,0,0,1,0
73,0,1,1,1,1,0,0,1,1
74,0,0,1,1,0,0,1,0,1
75,1,1,1,1,1,0,1,1,1
76,1,1,1,1,0,0,1,1,1
77,1,0,1,1,0,0,1,1,1
78,0,1,1,0,0,0,1,1,1
79,0,1,1,1,0,0,1,1,0
80,1,0,1,1,0,0,1,0,1
81,1,0,1,1,0,0,1,1,1
82,1,1,1,1,1,0,1,1,1
83,1,1,1,1,1,0,1,1,1
84,1,1,1,1,1,0,0,1,1
85,0,0,1,0,0,1,1,1,0
86,0,0,1,0,0,0,1,0,1
87,1,1,1,0,1,0,1,1,1
88,1,0,1,1,0,0,1,1,1
89,1,0,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1
91,1,1,1,1,1,0,1,1,1
92,0,1,1,1,0,0,0,1,1
93,1,0,0,0,0,1,1,1,1
94,1,1,1,1,1,0,1,1,1
95,0,0,1,0,0,0,0,1,0
96,1,0,1,1,0,0,1,1,1
97,1,0,1,1,1,1,1,1,1
98,1,0,1,1,0,0,1,1,1
99,1,0,1,1,1,0,1,1,1
100,0,0,1,1,0,0,1,0,0
101,1,0,1,1,1,0,1,1,1
102,0,1,1,0,1,0,1,1,1
103,0,0,1,0,0,0,1,1,0
104,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,0,1,1,1
106,1,0,1,1,0,0,1,1,1
107,0,1,0,0,0,0,1,1,1
108,1,1,1,1,0,0,1,1,1
109,1,1,1,1,1,0,1,1,1
110,1,1,1,1,1,0,1,1,1
111,1,0,1,1,1,0,1,1,1
112,0,1,1,0,0,1,0,1,1
113,1,1,1,1,1,1,1,1,1
114,0,0,1,1,0,0,1,1,1
115,1,0,1,1,1,0,1,1,0
116,0,1,1,1,1,0,0,1,0
117,0,1,1,1,0,0,0,1,0
118,0,0,1,0,0,0,0,0,0
119,1,0,1,1,1,0,0,1,1
120,1,1,0,1,1,1,1,1,1
121,0,0,1,0,0,0,1,1,1
122,0,0,1,1,0,0,1,1,1
123,1,0,0,1,1,0,1,1,1
124,0,0,1,0,1,0,1,1,0
125,1,1,1,1,1,0,1,1,0
126,0,0,1,1,0,0,1,1,1
127,0,1,0,1,0,1,1,1,0
128,1,0,1,0,1,0,1,1,1
129,0,1,1,0,0,0,0,0,0
130,1,0,0,1,0,0,1,1,1
131,1,0,1,1,1,0,1,1,0
132,0,1,1,0,1,0,1,1,0
133,1,0,1,0,1,0,1,1,1
134,1,1,1,1,1,0,1,1,0
135,0,0,0,0,0,0,1,1,1
136,1,0,1,1,1,0,1,1,1
137,1,0,0,1,0,0,1,1,1
138,1,0,0,1,0,0,1,1,1
139,0,0,1,1,0,0,1,1,1
140,1,0,0,1,1,0,1,1,1
141,1,1,1,0,1,1,1,1,1
142,1,0,1,1,1,1,1,1,1
143,0,0,0,0,0,0,1,1,1
144,0,0,1,0,0,0,0,1,0
145,1,0,1,1,1,1,0,1,0
146,0,1,0,1,0,0,1,0,0
